Time,L,F,SD
2,0.94977,0.152364280243182,0.838326809589243
2.05257894736842,0.961606044955024,1.25657158590695,1.14380919850068
2.10515789473684,0.973488655413178,1.61381289631653,1.18035911515585
2.15773684210526,0.985338808427664,2.37288966343907,1.19433900009972
2.21031578947368,0.997221082196074,3.02072999883884,1.24704941743796
2.26289473684211,1.00910285612747,3.95988288076451,1.56344499013282
2.31547368421053,1.02097222902735,4.77059730011669,1.64224577216704
2.36805263157895,1.03282980995803,5.52284489322487,1.68845673712981
2.42063157894737,1.04472205365214,6.26938373676169,1.71145580134013
2.47321052631579,1.05661190186566,7.02733988087182,2.05363204276137
2.52578947368421,1.06843190582996,8.25900661827779,2.04266428806981
2.57836842105263,1.08030753336606,9.61510909257431,2.1357339440905
2.63094736842105,1.09217920020076,11.4485525154859,2.0502488517278
2.68352631578947,1.10406400284162,12.3766375757247,2.3858336696161
2.73610526315789,1.11592131529818,14.2917000961627,2.37242367878935
2.78868421052632,1.12776793241125,16.6919454178179,2.22786286214454
2.84126315789474,1.13964495308834,19.8426451444637,2.23932673196972
2.89384210526316,1.15149587209373,22.5829890011759,2.16801081873843
2.94642105263158,1.16335700228459,26.9458323094819,2.13970174754432
2.999,1.175214,31.8775165531025,2.53899229724771
3.001,1.175568,31.4975114188643,2.34003605809313
4.501,1.17552,19.3286937859651,1.87082511989805
6.001,1.175506,16.7779767602415,2.17182433060169
7.501,1.175506,15.7966676529256,1.82781996816968
9.001,1.175528,14.870023353296,1.93494125465141
10.501,1.17552,14.4907022993576,1.94291535555756
12.001,1.175498,14.5115887815285,2.05047627384185
13.501,1.175486,14.6409194612001,1.96129330813142
15.001,1.17551,14.6722113530114,1.94250573270537
16.501,1.17551,14.2219599091104,2.07201978915745
18.001,1.175498,14.8925940106287,2.08218617596805
19.501,1.175508,14.4601995224381,2.03161352958841
21.001,1.175528,14.4101388532687,1.80832287935304
22.501,1.175522,13.5952851178906,2.08289800183309
24.001,1.175506,14.0648689791494,2.16470595059974
25.501,1.175506,14.2980793066933,2.11069899007239
27.001,1.175504,13.7929698415017,2.08662694977121
28.501,1.175508,13.777301289332,2.04524384133545
30.001,1.175516,14.2255727937289,2.15263202684867
31.501,1.175484,13.977430496842,2.04235523880214
33.001,1.175508,13.8591705460587,2.1748380508057
34.501,1.175506,13.8049232271232,2.20425314059495
36.001,1.175516,13.9884588320472,2.23136835920471
37.501,1.175502,13.7245187801317,2.14204260206584
39.001,1.175508,14.1454323771976,2.068361594393
40.501,1.175498,13.5526272573207,2.09371179944597
42.001,1.175518,14.0064750716606,2.16050087867908
43.501,1.17551,13.6714504830199,2.36444654587116
45.001,1.175506,14.235985514093,1.9978992908083
46.501,1.17551,13.7111134086348,2.03479971995741
48.001,1.175508,13.2875676867873,2.13812760767009
49.501,1.175516,13.7913095124598,2.36467127599525
51.001,1.17551,13.7413407635725,1.99686355329111
52.501,1.175504,13.7868320171221,2.13279015135073
54.001,1.1755,13.3260243596818,2.32274463663167
55.501,1.175512,13.7653622781374,2.22391227719697
57.001,1.175486,13.7608068501941,2.21998556755489
58.501,1.175516,13.9212482801939,2.36400684445255
60.001,1.175504,13.5583100164492,2.23180949778003
61.501,1.175508,14.1178390276096,2.32161533959194
