Time,L,F
2,0.94978,0.196576994182633
2.52631578947368,0.961765562963061,0.0877934717814994
3.05263157894737,0.973597894736842,0.345141564379976
3.57894736842105,0.98545162520378,0.616518888116691
4.10526315789474,0.997281435340429,0.748375797322393
4.63157894736842,1.0092791374836,0.778580699468098
5.15789473684211,1.02113806519901,0.935809948916572
5.68421052631579,1.03297263157895,1.14152441205335
6.21052631578947,1.04489300562853,1.36654095312543
6.73684210526316,1.05676052631579,1.44927988441018
7.26315789473684,1.0686185306896,1.77016357937054
7.78947368421053,1.08042753953443,1.97301009699494
8.31578947368421,1.09238636769208,2.3464941437581
8.84210526315789,1.10423748534772,2.76554131948919
9.36842105263158,1.1160997739135,3.01253526855379
9.89473684210526,1.12803421052632,3.77019576113698
10.4210526315789,1.13987315789474,4.36354487314637
10.9473684210526,1.15168196092725,5.37862740716462
11.4736842105263,1.16353262428925,6.57972746300728
12,1.17541,8.75249085185179
12.3630131284722,1.17542392892691,8.1405327807293
12.7392041100886,1.17543,8.17748732055071
13.1290513182191,1.17539188677361,7.85756815669961
13.5330504918145,1.17541,7.79615490445552
13.9517153658006,1.17542455322577,7.67753243139692
14.3855783243554,1.17541,7.57610823969647
14.8351910779015,1.17541,7.54580799865479
15.3011253646742,1.17541,7.57981349856339
15.7839736777573,1.17540781793071,7.52350593501186
16.2843500185114,1.17541,7.42971262262551
16.8028906773525,1.17541,7.20988002134876
17.3402550428742,1.17543,7.2495275379553
17.8971264403417,1.17542222467665,7.09525577152876
18.4742130006243,1.17541,7.07382516992021
19.0722485606717,1.17541,7.0002980326467
19.691993596678,1.17541,7.13166698206978
20.334236191122,1.17541,6.9747339073067
20.9997930349107,1.17540990003397,6.78428754499449
21.6895104659034,1.17541,6.9066538134053
22.4042655451347,1.17539116783906,6.92762540506108
23.1449671721063,1.17539000515018,6.83047509686056
23.912557240565,1.17543,6.79369154032645
24.7080118362373,1.17542302810895,6.60914432630719
25.5323424780429,1.17541,6.72671226412002
26.3865974043661,1.17541,6.69779413778584
27.2718629060212,1.17542373981531,6.59914428380327
28.1892647076046,1.17542882964085,6.55419630253025
29.1399693989939,1.17541000223824,6.54007158477394
30.1251859188107,1.17541,6.6075201186035
31.1461670917356,1.17541,6.56008688216563
32.2042112216299,1.17541133616947,6.67112165679449
33.3006637424897,1.17541,6.47415987791917
34.4369189293313,1.17541657635823,6.45433344832742
35.6144216711848,1.17541,6.53821440667403
36.8346693084487,1.17542974911572,6.41072201221071
38.0992135369441,1.17541,6.3252174143814
39.4096623810872,1.17543,6.39652463373945
40.7676822386918,1.17541,6.44722796642867
42.175,1.17541,6.42695305591642
