Time,L,F,SD
2,0.94971,0.411311337603269,0.220727496205047
2.00526315789474,0.961042850159622,0.708269058885448,0.227315152727971
2.01052631578947,0.972848406565991,1.23089144458019,0.242373241151056
2.01578947368421,0.984724938267372,0.934554418645838,0.275820798989877
2.02105263157895,0.996643044786928,1.6780079075257,0.245322384417845
2.02631578947368,1.00855049821734,1.33990398931347,0.173522801472058
2.03157894736842,1.02034977268847,1.55057663712512,0.336833826750207
2.03684210526316,1.03226711899536,2.19876231410107,0.220685929260938
2.04210526315789,1.04411,1.89513928562319,0.298484075499133
2.04736842105263,1.05598445165279,2.58889779665512,0.29057881992824
2.05263157894737,1.06782015036021,3.21325796972232,0.383057903620774
2.05789473684211,1.07976014791717,3.46501837103557,0.289249987136513
2.06315789473684,1.09164756351138,4.20201324400377,0.378910622743797
2.06842105263158,1.10352890901763,4.3927854760753,0.350192019283527
2.07368421052632,1.11535559671677,5.53445819813999,0.374807363361243
2.07894736842105,1.12727214532885,6.63491656886981,0.40086295072893
2.08421052631579,1.13911857622631,7.76792799228882,0.524241233273929
2.08947368421053,1.15093146129671,9.70921575171461,0.905692514841928
2.09473684210526,1.16282258025478,12.4039128609233,1.0843194294452
2.1,1.17468,17.0626757493696,1.81775326445609
2.101,1.17558,16.9864288952261,1.7639912267009
2.10132341026975,1.17558,16.6293650669274,1.81575821891208
2.10175141474207,1.17555477348296,16.1799519942688,1.68478697765275
2.10231784025624,1.17549920254767,16.4422984455188,1.60743176796339
2.10306745359874,1.17546532009418,16.177461460635,1.800950971716
2.10405949959454,1.17545,15.5773901432583,1.79367820482357
2.10537238345345,1.17546675643958,15.6560934202905,1.70339077125334
2.10710986743531,1.17544505475436,15.2165041322504,1.65446951645694
2.10940927158042,1.17543671530113,14.9157645032464,1.58264852830331
2.11245232664036,1.17539,14.7213086586049,1.36147194012022
2.11647953695808,1.17543,14.6811642917157,1.5609316400465
2.12180918845099,1.17540348495401,13.8847532411549,1.45884330749541
2.12886250397087,1.17542258913001,13.7922586759392,1.49474469664053
2.13819693416564,1.17542372773666,13.4423587395451,1.39316455196808
2.15055021494763,1.17544943534826,12.7519422841493,1.40628578853883
2.16689867359957,1.17538,12.5381684213029,1.33853223273696
2.18853439167407,1.17545,12.3894748774103,1.19684848840181
2.2171673231672,1.17541,11.8565672034884,1.27159980301075
2.25506043875814,1.17541,11.4125814676383,1.11268607562832
2.30520857708388,1.1753975373693,11.2395894876435,1.14691869101945
2.37157513835282,1.17541,10.8218862183562,1.10019405679904
2.45940532710387,1.17540812042598,10.8783377794271,1.1660014647624
2.57564070089076,1.17541,9.99109304426401,1.03725541738004
2.72946778826811,1.17541,10.3547329619186,1.16385707100662
2.93304413546846,1.17543253642853,9.47226650009059,0.989970556568997
3.20245916403082,1.17542962157274,9.64574581997117,1.03453198694696
3.55900577965421,1.17541,9.18700565845832,0.997606734560799
4.03086323241347,1.17543,8.5880901647227,0.884172405585256
4.65532423125136,1.17542135403216,8.55034158107015,0.944646521627633
5.48174233016941,1.17541,8.37535876542808,0.800335785113155
6.57543252938169,1.1754490057383,7.95505394401807,0.879893484323235
8.02283337094002,1.17543,7.72988727673541,0.94167707891133
9.93833850909762,1.17541982266375,7.69916314419538,0.939466074088543
12.473337680687,1.17541338221306,7.81800925682734,0.727478435453786
15.8281816181666,1.17542199882549,7.87996407000593,0.90855755964661
20.2680165384229,1.17539,7.18783830338506,0.935812554639495
26.143739667868,1.17541123914993,7.51445890625792,0.856544978717449
33.919731999561,1.17545,7.40107277953588,0.825752803127478
44.2105601087913,1.17542920236063,6.97297992894749,0.693332050842489
57.8295477127398,1.17543,7.00951246434022,0.894885784397476
75.8530557713517,1.17539,7.04281958253085,0.708646128425338
99.7055514329722,1.17543033820054,7.19685414505375,0.806390477652348
131.272189150638,1.17538963170313,6.31011136075762,0.733329584146733
173.047801687555,1.17539735733768,6.27383888588315,0.809746086067768
228.33407634385,1.17541,6.20455822355188,0.722094029440555
301.5005,1.17540999999998,6.37145764213913,0.583123232529805
