Time,L,F
2,0.94976,-0.310648848455392
2.52578947368421,0.961754428425635,0.437201300011936
3.05157894736842,0.973589751567284,0.92056797024726
3.57736842105263,0.985434607085581,1.75718188664266
4.10315789473684,0.997280704184283,2.12117711542419
4.62894736842105,1.00922828546435,2.6428509791298
5.15473684210526,1.02104334149956,3.22269388237698
5.68052631578947,1.03289168800117,4.10241454126795
6.20631578947368,1.04481894736842,4.57930662211098
6.73210526315789,1.05664748534772,5.09325175316699
7.2578947368421,1.06852410759586,5.87104916092136
7.78368421052632,1.08032105263158,6.64461718097344
8.30947368421053,1.09224923895612,7.72545188169138
8.83526315789474,1.10409526986441,8.77577960782713
9.36105263157895,1.11595474558974,9.88884128255068
9.88684210526316,1.12785975652427,11.0245606410231
10.4126315789474,1.13968933809593,12.5908055754906
10.9384210526316,1.15148359527628,14.3218222721921
11.4642105263158,1.16332414619147,16.530302579721
11.99,1.17523,19.3891367350852
12.01,1.17541,19.309998409425
12.373110293907,1.17539641097552,17.9104959326041
12.7493923246314,1.17541,17.0877749121473
13.1393238936942,1.17543,16.635431799106
13.5434001347496,1.1754251674237,16.2835388531792
13.9621341423036,1.17541,15.9753881949065
14.3960576232394,1.17539461198688,15.5715267121555
14.8457215719769,1.1754111293753,15.2659880141131
15.3116969701236,1.17541,15.2130040622611
15.7945755115045,1.17542959201925,15.1374213428854
16.2949703534931,1.17539000210106,15.0757665510614
16.8135168955959,1.17541299740036,14.8925664040627
17.3508735862809,1.17542838177042,14.7980075868516
17.9077227590725,1.17543,14.6894535275976
18.4847714989764,1.17543,14.672783644651
19.0827525403334,1.17543,14.6595260884385
19.7024251972426,1.17541,14.5582885415871
20.344576327736,1.17539040646016,14.4211887142051
21.0100213329272,1.17541,14.386003468289
21.6996051924055,1.17542964559747,14.3000536990539
22.4142035371874,1.17540863922912,14.2704641069459
23.1547237615896,1.17541,14.620863557794
23.922106175435,1.17543,14.2520766964336
24.7173251980548,1.17541,14.2606369375522
25.5413905956019,1.17541,14.2204921685797
26.3953487632492,1.17540972164914,14.3238166892335
27.2802840538973,1.17542981368631,14.1109780144114
28.1973201550826,1.17543,14.105312132075
29.1476215158307,1.17541,14.2765718108233
30.1323948252702,1.17542302126281,14.1571916986592
31.1528905448819,1.17542232420754,14.0431882141353
32.2104044963296,1.17541037150304,14.0333457361632
33.3062795068903,1.17541,14.0687578713364
34.4419071145708,1.17539650937767,13.8939809809859
35.618729335078,1.17542678149823,13.7211550702429
36.8382404928843,1.17541,13.9249679644831
38.1019891187159,1.17542302261895,13.686052499102
39.4115799158713,1.17542527125625,13.835053503462
40.7686757978671,1.17541,13.84029377225
42.175,1.17541,13.5647323508543
