==== probeA2hop on params/opt2state_v2_opt.m ====
Data targets: peak1_y~96, peak1_dSL~0.025, vall_y~71, peak2~81, steady~[80..64], FV~[.92 .66 .32 .11], ktr~49
Goal: hop should DROP peak1_y and/or peak1_dSL (the major cost) -- ideally with valley-fill (kA2re) holding vall_y.

lever             peak1y   pk1dSL  vall_y   peak2  ovrsht  steady    ktr | FV(.5,1,2,4)              COST
BASE off            96.1   0.0346    66.9    79.0    1.23    77.4   52.4 | 0.93 0.55 0.22 0.09      3.224
hop2k               96.0   0.0345    67.1    79.1    1.27    77.4   52.6 | 0.93 0.55 0.22 0.09      3.208
hop8k               95.9   0.0346    67.8    79.5    1.25    77.4   52.4 | 0.93 0.55 0.22 0.09      3.119
hop30k              95.5   0.0345    70.0    81.0    1.26    77.4   52.4 | 0.93 0.55 0.22 0.09      2.952
hop80k              95.1   0.0472    74.3    84.0    1.29    77.4   52.4 | 0.93 0.55 0.22 0.09      8.209
re10+hop8k          97.4   0.0351    71.0    82.4    1.29    77.4   51.8 | 0.93 0.55 0.22 0.09      3.104
re10+hop30k         97.0   0.0350    73.3    83.9    1.29    77.4   51.9 | 0.93 0.55 0.22 0.09      3.187
re10+hop30k s.002    96.6   0.0426    74.7    84.8    1.31    77.4   51.8 | 0.93 0.55 0.22 0.09      6.273
