Row,Value
kah,215.707400099879
ka,138083.631048686
kd,-36144.2279609392
k1,576357.922758491
k_1,83864.9100280702
k2,5641.24781619403
kstiff1,-1003339.70558791
kstiff2,107586.331104192
alpha0,NaN
dr0,-2.21918854286485
alpha1,0
dr1,0.0455679865781588
alpha_1,0
dr_1,-0.176325827612754
alpha2,-0
dr2,13.4369161220205
alpha3,-24.4444847865983
